Public RD&D spending in Million,,Source: IEA All rights reserved ( http://www.iea.org/t&c/termsandconditions/ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Currency,Economic Indicators,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Estimated,2022 Estimated
Australia,National currency (nominal),Energy efficiency,..,..,..,..,..,0,5.4,7.01,..,12.93,..,8.84,..,5.36,..,6.56,..,..,..,6.65,..,13.91,..,10.148,..,9.43,..,13.68,..,13.47,48.625,32.009,30.455,34.523,43.848,39.35,131.82,99.561,71.742,71.738,29.749,29.451,21.467,28.108,46.263,30.62,46.658,41.812,17.712
Australia,National currency (nominal),Fossil fuels ,..,..,..,..,..,13.41,20.75,26.29,..,44.72,..,34.59,..,33.49,..,43.83,..,..,..,67.55,..,60.26,..,113.612,..,89.14,..,94.58,..,82.67,54.152,53.492,65.184,71.92,72.205,300.273,223.83,263.692,395.598,326.75,155.952,64.41,42.331,67.878,68.4,49.117,46.41,138.832,73.231
Australia,National currency (nominal),Renewables ,..,..,..,..,..,6.43,9.96,13.58,..,13.05,..,9.46,..,1.04,..,5.57,..,..,..,10.93,..,5.35,..,8.188,..,13.46,..,15.47,..,16.09,38.899,28.965,39,49.221,46.08,88.603,98.095,198.89,257.375,518.134,94.493,151.449,56.188,68.475,75.744,41.276,62.037,41.467,14.953
Australia,National currency (nominal),Nuclear,..,..,..,..,..,0,0,0,..,15.09,..,10.66,..,21.04,..,22.3,..,..,..,1.15,..,7.82,..,1.186,..,3.59,..,4.25,..,1.34,30.716,21.838,17.691,15.758,26.13,2.9,2.98,6.13,11.6,8.9,7.89,9.118,17.551,10.016,9.789,10.246,15.395,18.026,0
Australia,National currency (nominal),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,0,0.201,0.66,0.334,1.229,2.425,2.526,0.226,1.856,4.081,4.149,3.883,5.877,49.781,46.045,51.981,100.13,112.573
Australia,National currency (nominal),Other power and storage technologies ,..,..,..,..,..,0,1.94,2.37,..,5,..,3.9,..,1.07,..,11.52,..,..,..,8.24,..,6.75,..,6.487,..,11.84,..,8.24,..,6.24,9.646,11.941,13.287,13.879,14.366,17.118,13.77,11.985,19,24.067,10.742,16.794,18.685,16.962,39.465,21.523,34.822,22.332,12.618
Australia,National currency (nominal),Other cross-cutting technologies/research,..,..,..,..,..,0,3.64,5.35,..,5.79,..,0.25,..,0.41,..,1.96,..,..,..,15.84,..,22.19,..,18.008,..,9.06,..,19.29,..,31.92,131.447,84.894,100.745,122.592,131.14,10.351,11.827,8.38,15.117,9.382,0.22,2.196,2.57,2.57,18.673,35.529,35.963,45.727,47.34
Australia,National currency (nominal),Unallocated,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,7.751,2.606,7.056,3.436,0,0,0,0,0
Australia,National currency (nominal),Total Budget ,..,..,..,..,..,19.84,41.69,54.6,..,96.57,..,67.7,..,62.4,..,91.74,..,..,..,110.36,..,116.28,..,157.629,..,136.52,..,155.51,..,151.73,313.786,233.139,266.562,308.552,334.101,459.824,484.747,591.164,770.658,960.827,310.878,280.173,169.731,203.322,308.113,234.357,293.267,408.327,278.427
Australia,National Currency (2021 prices),Energy efficiency,..,..,..,..,..,0,24.304,28.652,..,43.381,..,26.586,..,14.177,..,14.79,..,..,..,13.743,..,27.596,..,19.544,..,17.815,..,23.913,..,22.208,77.489,48.76,44.142,47.92,57.223,51.128,162.628,117.348,84.997,83.903,34.688,34.598,24.976,31.562,50.804,32.577,49.251,41.812,..
Australia,National Currency (2021 prices),Fossil fuels ,..,..,..,..,..,66.399,93.39,107.456,..,150.039,..,104.029,..,88.579,..,98.815,..,..,..,139.604,..,119.549,..,218.802,..,168.403,..,165.331,..,136.296,86.297,81.486,94.48,99.83,94.23,390.146,276.142,310.803,468.687,382.159,181.842,75.668,49.251,76.219,75.114,52.257,48.989,138.832,..
